Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Strong,"Menambah stamina tubuh, Menghilangkan capek Menjaga tubuh tetap perkasa,  Mengentalkan sperma, Mencegah ejakulasi dini, Tahan lama.",Pj. Alam Insani Herbal,Jamu Pasutri,131,"menambah stamina tubuh, menghilangkan capek menjaga tubuh tetap perkasa,  mengentalkan sperma, mencegah ejakulasi dini, tahan lama.",menambah stamina tubuh menghilangkan capek menjaga tubuh tetap perkasa  mengentalkan sperma mencegah ejakulasi dini tahan lama,"['menambah', 'stamina', 'tubuh', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'tetap', 'perkasa', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'dini', 'tahan', 'lama']","['menambah', 'stamina', 'tubuh', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'perkasa', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'tahan']","['tambah', 'stamina', 'tubuh', 'hilang', 'capek', 'jaga', 'tubuh', 'perkasa', 'kental', 'sperma', 'cegah', 'ejakulasi', 'tahan']"
Seger Montok,"Mengencangkan dan memontokkan payudara, Memadatkan tubuh, Mencerahkan wajah, Memberi nafsu makan, Menyehatkan badan.",Mustika Madura,Jamu Perawatan Kewanitaan,116,"mengencangkan dan memontokkan payudara, memadatkan tubuh, mencerahkan wajah, memberi nafsu makan, menyehatkan badan.",mengencangkan dan memontokkan payudara memadatkan tubuh mencerahkan wajah memberi nafsu makan menyehatkan badan,"['mengencangkan', 'dan', 'memontokkan', 'payudara', 'memadatkan', 'tubuh', 'mencerahkan', 'wajah', 'memberi', 'nafsu', 'makan', 'menyehatkan', 'badan']","['mengencangkan', 'memontokkan', 'payudara', 'memadatkan', 'tubuh', 'mencerahkan', 'wajah', 'nafsu', 'makan', 'menyehatkan', 'badan']","['encang', 'montok', 'payudara', 'madat', 'tubuh', 'cerah', 'wajah', 'nafsu', 'makan', 'sehat', 'badan']"
Rapet Wangi Spesial,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / Gatal disebabkan bakteri, merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.",Mustika Madura,Jamu Pasutri,163,"mengharumkan bagian kewanitaan, menyembuhkan keputihan / gatal disebabkan bakteri, merapatkan vagina, mengencangkan otot rahim, menambah keharmonisan rumah tangga.",mengharumkan bagian kewanitaan menyembuhkan keputihan  gatal disebabkan bakteri merapatkan vagina mengencangkan otot rahim menambah keharmonisan rumah tangga,"['mengharumkan', 'bagian', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['mengharumkan', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['harum', 'wanita', 'sembuh', 'putih', 'gatal', 'sebab', 'bakteri', 'rapat', 'vagina', 'encang', 'otot', 'rahim', 'tambah', 'harmonis', 'rumah', 'tangga']"
Tolak Angin,"Menyembuhkan demam, pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.",Mustika Madura,Jamu Kesehatan,98,"menyembuhkan demam, pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.",menyembuhkan demam pusing perut mual kembung tenggorokan kering dan menambah daya tahan tubuh,"['menyembuhkan', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorokan', 'kering', 'dan', 'menambah', 'daya', 'tahan', 'tubuh']","['menyembuhkan', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorokan', 'kering', 'menambah', 'daya', 'tahan', 'tubuh']","['sembuh', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorok', 'kering', 'tambah', 'daya', 'tahan', 'tubuh']"
Subur Kandungan,"untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. Jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.",Mustika Madura,Jamu Perawatan Kewanitaan,154,"untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.",untuk membantu menyehatkan menyuburkan dan menguatkan kandungan jamu ini sangat baik bagi ibuibu yang sering keguguran dan sulit mendapatkan kehamilan,"['untuk', 'membantu', 'menyehatkan', 'menyuburkan', 'dan', 'menguatkan', 'kandungan', 'jamu', 'ini', 'sangat', 'baik', 'bagi', 'ibuibu', 'yang', 'sering', 'keguguran', 'dan', 'sulit', 'mendapatkan', 'kehamilan']","['membantu', 'menyehatkan', 'menyuburkan', 'menguatkan', 'kandungan', 'jamu', 'ibuibu', 'keguguran', 'sulit', 'kehamilan']","['bantu', 'sehat', 'subur', 'kuat', 'kandung', 'jamu', 'ibuibu', 'gugur', 'sulit', 'hamil']"
Sehat Wanita,"memadatkan tubuh, mengencangkan payudara yang kendur, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & Capek, Mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, Membersihkan darah nifas, Merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu, tidak disarankan mengkonsumsi untuk ibu hamil.",Mustika Madura,Jamu Perawatan Kewanitaan,359,"memadatkan tubuh, mengencangkan payudara yang kendur, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & capek, mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, membersihkan darah nifas, merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu, tidak disarankan mengkonsumsi untuk ibu hamil.",memadatkan tubuh mengencangkan payudara yang kendur menghilangkan bau badan menyegarkan tubuh menghilangkan letih lesu  capek mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan membersihkan darah nifas merapatkankan kewanitaan aman di konsumsi baik remaja perempuan maupun ibu tidak disarankan mengkonsumsi untuk ibu hamil,"['memadatkan', 'tubuh', 'mengencangkan', 'payudara', 'yang', 'kendur', 'menghilangkan', 'bau', 'badan', 'menyegarkan', 'tubuh', 'menghilangkan', 'letih', 'lesu', 'capek', 'mengencangkan', 'kembali', 'otot', 'kewanitaan', 'terutama', 'pada', 'wanita', 'habis', 'melahirkan', 'membersihkan', 'darah', 'nifas', 'merapatkankan', 'kewanitaan', 'aman', 'di', 'konsumsi', 'baik', 'remaja', 'perempuan', 'maupun', 'ibu', 'tidak', 'disarankan', 'mengkonsumsi', 'untuk', 'ibu', 'hamil']","['memadatkan', 'tubuh', 'mengencangkan', 'payudara', 'kendur', 'menghilangkan', 'bau', 'badan', 'menyegarkan', 'tubuh', 'menghilangkan', 'letih', 'lesu', 'capek', 'mengencangkan', 'otot', 'kewanitaan', 'wanita', 'habis', 'melahirkan', 'membersihkan', 'darah', 'nifas', 'merapatkankan', 'kewanitaan', 'aman', 'konsumsi', 'remaja', 'perempuan', 'disarankan', 'mengkonsumsi', 'hamil']","['madat', 'tubuh', 'encang', 'payudara', 'kendur', 'hilang', 'bau', 'badan', 'segar', 'tubuh', 'hilang', 'letih', 'lesu', 'capek', 'encang', 'otot', 'wanita', 'wanita', 'habis', 'lahir', 'bersih', 'darah', 'nifas', 'merapatkankan', 'wanita', 'aman', 'konsumsi', 'remaja', 'perempuan', 'saran', 'konsumsi', 'hamil']"
Sehat Laki-laki ( Helbeh),"Mengatasi lemah syahwat, Memperbaiki kualitas sperma, menambah /  Meningkatkan stamina (Pria  &  wanita)",Mustika Madura,Jamu Pasutri,104,"mengatasi lemah syahwat, memperbaiki kualitas sperma, menambah /  meningkatkan stamina (pria  &  wanita)",mengatasi lemah syahwat memperbaiki kualitas sperma menambah   meningkatkan stamina pria    wanita,"['mengatasi', 'lemah', 'syahwat', 'memperbaiki', 'kualitas', 'sperma', 'menambah', 'meningkatkan', 'stamina', 'pria', 'wanita']","['mengatasi', 'lemah', 'syahwat', 'memperbaiki', 'kualitas', 'sperma', 'menambah', 'meningkatkan', 'stamina', 'pria', 'wanita']","['atas', 'lemah', 'syahwat', 'baik', 'kualitas', 'sperma', 'tambah', 'tingkat', 'stamina', 'pria', 'wanita']"
Natural Lulur Sari temugiring,"Menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",Mustika Madura,Jamu Perawatan Kewanitaan,83,"menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",menghaluskan dan mencerahkan kulit melembabkan menghilangkan bekas noda di tubuh,"['menghaluskan', 'dan', 'mencerahkan', 'kulit', 'melembabkan', 'menghilangkan', 'bekas', 'noda', 'di', 'tubuh']","['menghaluskan', 'mencerahkan', 'kulit', 'melembabkan', 'menghilangkan', 'bekas', 'noda', 'tubuh']","['halus', 'cerah', 'kulit', 'melembabkan', 'hilang', 'bekas', 'noda', 'tubuh']"
Empot Sari Rapet,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.",TOKO NUR,Jamu Pasutri,124,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.",mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga memadatkan tubuh dan membuat badan lebih segar,"['mengembalikan', 'masa', 'keperawanan', 'dan', 'menambah', 'keharmonisan', 'dalam', 'rumah', 'tangga', 'memadatkan', 'tubuh', 'dan', 'membuat', 'badan', 'lebih', 'segar']","['mengembalikan', 'keperawanan', 'menambah', 'keharmonisan', 'rumah', 'tangga', 'memadatkan', 'tubuh', 'badan', 'segar']","['kembali', 'perawan', 'tambah', 'harmonis', 'rumah', 'tangga', 'madat', 'tubuh', 'badan', 'segar']"
Awet Muda,membantu memelihara kecantikan,TOKO NUR,Jamu Perawatan Kewanitaan,30,membantu memelihara kecantikan,membantu memelihara kecantikan,"['membantu', 'memelihara', 'kecantikan']","['membantu', 'memelihara', 'kecantikan']","['bantu', 'pelihara', 'cantik']"
Ma'jun,"menyembuhkan sakit pinggang, pegal linu, encok dan rematik, menghilangkan rasa lelah sehingga menambahan stamina dan syahwat",TOKO NUR,Jamu Pasutri,124,"menyembuhkan sakit pinggang, pegal linu, encok dan rematik, menghilangkan rasa lelah sehingga menambahan stamina dan syahwat",menyembuhkan sakit pinggang pegal linu encok dan rematik menghilangkan rasa lelah sehingga menambahan stamina dan syahwat,"['menyembuhkan', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'dan', 'rematik', 'menghilangkan', 'rasa', 'lelah', 'sehingga', 'menambahan', 'stamina', 'dan', 'syahwat']","['menyembuhkan', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'rematik', 'menghilangkan', 'lelah', 'menambahan', 'stamina', 'syahwat']","['sembuh', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'rematik', 'hilang', 'lelah', 'tambah', 'stamina', 'syahwat']"
Sale Karang,"Untuk sakit gigi, gusi bengkak dan gusi berdarah",TOKO NUR,Jamu Kesehatan,48,"untuk sakit gigi, gusi bengkak dan gusi berdarah",untuk sakit gigi gusi bengkak dan gusi berdarah,"['untuk', 'sakit', 'gigi', 'gusi', 'bengkak', 'dan', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'darah']"
Ibu Hamil,biar tidak mudah capek,TOKO NUR,Jamu Kesehatan,22,biar tidak mudah capek,biar tidak mudah capek,"['biar', 'tidak', 'mudah', 'capek']","['biar', 'mudah', 'capek']","['biar', 'mudah', 'capek']"
Diabet,menstabilkan kadar gula,TOKO NUR,Jamu Kesehatan,23,menstabilkan kadar gula,menstabilkan kadar gula,"['menstabilkan', 'kadar', 'gula']","['menstabilkan', 'kadar', 'gula']","['stabil', 'kadar', 'gula']"
Nafsu Makan,Untuk menambah nafsu makan,TOKO BU EMA,Jamu Kesehatan,26,untuk menambah nafsu makan,untuk menambah nafsu makan,"['untuk', 'menambah', 'nafsu', 'makan']","['menambah', 'nafsu', 'makan']","['tambah', 'nafsu', 'makan']"
Sehat Pria,Untuk menambah tenaga lelaki saat berhubungan intim,TOKO BU EMA,Jamu Pasutri,51,untuk menambah tenaga lelaki saat berhubungan intim,untuk menambah tenaga lelaki saat berhubungan intim,"['untuk', 'menambah', 'tenaga', 'lelaki', 'saat', 'berhubungan', 'intim']","['menambah', 'tenaga', 'lelaki', 'berhubungan', 'intim']","['tambah', 'tenaga', 'lelaki', 'hubung', 'intim']"
Sehat Wanita,Untuk menambah stamina perempuan dan menjaga organ kewanitaan,TOKO BU EMA,Jamu Perawatan Kewanitaan,61,untuk menambah stamina perempuan dan menjaga organ kewanitaan,untuk menambah stamina perempuan dan menjaga organ kewanitaan,"['untuk', 'menambah', 'stamina', 'perempuan', 'dan', 'menjaga', 'organ', 'kewanitaan']","['menambah', 'stamina', 'perempuan', 'menjaga', 'organ', 'kewanitaan']","['tambah', 'stamina', 'perempuan', 'jaga', 'organ', 'wanita']"
Nafsu Makan,menambah nafsu makan,TOKO BU EMA,Jamu Kesehatan,20,menambah nafsu makan,menambah nafsu makan,"['menambah', 'nafsu', 'makan']","['menambah', 'nafsu', 'makan']","['tambah', 'nafsu', 'makan']"
Gatal-gatal,untuk menyembuhkan gatal - gatal dan alergi,TOKO BU EMA,Jamu Kesehatan,43,untuk menyembuhkan gatal - gatal dan alergi,untuk menyembuhkan gatal  gatal dan alergi,"['untuk', 'menyembuhkan', 'gatal', 'gatal', 'dan', 'alergi']","['menyembuhkan', 'gatal', 'gatal', 'alergi']","['sembuh', 'gatal', 'gatal', 'alergi']"
Ibu Melahirkan,memperlancar ASI,TOKO BU EMA,Jamu Perawatan Kewanitaan,16,memperlancar asi,memperlancar asi,"['memperlancar', 'asi']","['memperlancar', 'asi']","['lancar', 'asi']"
Jamu Sakit Pinggang,meredakan nyeri pinggang dan menambah stamina,TOKO BU EMA,Jamu Kesehatan,45,meredakan nyeri pinggang dan menambah stamina,meredakan nyeri pinggang dan menambah stamina,"['meredakan', 'nyeri', 'pinggang', 'dan', 'menambah', 'stamina']","['meredakan', 'nyeri', 'pinggang', 'menambah', 'stamina']","['reda', 'nyeri', 'pinggang', 'tambah', 'stamina']"
Jaselang,"Menambah stamina, pegal linu, capek - capek, menghangatkan badan ",Warda,Jamu Kesehatan,65,"menambah stamina, pegal linu, capek - capek, menghangatkan badan ",menambah stamina pegal linu capek  capek menghangatkan badan ,"['menambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'menghangatkan', 'badan']","['menambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'menghangatkan', 'badan']","['tambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'hangat', 'badan']"
Macho,"Menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek - capek, dan menghangatkan badan",Warda,Jamu Pasutri,115,"menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek - capek, dan menghangatkan badan",menambah stamina pria dan ereksi meningkatkan libido mengobati pegal linu capek  capek dan menghangatkan badan,"['menambah', 'stamina', 'pria', 'dan', 'ereksi', 'meningkatkan', 'libido', 'mengobati', 'pegal', 'linu', 'capek', 'capek', 'dan', 'menghangatkan', 'badan']","['menambah', 'stamina', 'pria', 'ereksi', 'meningkatkan', 'libido', 'mengobati', 'pegal', 'linu', 'capek', 'capek', 'menghangatkan', 'badan']","['tambah', 'stamina', 'pria', 'ereksi', 'tingkat', 'libido', 'obat', 'pegal', 'linu', 'capek', 'capek', 'hangat', 'badan']"
Kusir,"menghilangkan bau badan, sakit kepala ",Warda,Jamu Kesehatan,38,"menghilangkan bau badan, sakit kepala ",menghilangkan bau badan sakit kepala ,"['menghilangkan', 'bau', 'badan', 'sakit', 'kepala']","['menghilangkan', 'bau', 'badan', 'sakit', 'kepala']","['hilang', 'bau', 'badan', 'sakit', 'kepala']"
Sarpet Manjakani,"mencegah keputihan, menghilangkan bau  badan, merapatkan vagina ",Warda,Jamu Perawatan Kewanitaan,64,"mencegah keputihan, menghilangkan bau  badan, merapatkan vagina ",mencegah keputihan menghilangkan bau  badan merapatkan vagina ,"['mencegah', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina']","['mencegah', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina']","['cegah', 'putih', 'hilang', 'bau', 'badan', 'rapat', 'vagina']"
Jamu Sondhep,"meredakan nyeri otot bagian bahu, otot pinggang, dan memperlancar peredaran darah",TOKO ANGGREK,Jamu Kesehatan,81,"meredakan nyeri otot bagian bahu, otot pinggang, dan memperlancar peredaran darah",meredakan nyeri otot bagian bahu otot pinggang dan memperlancar peredaran darah,"['meredakan', 'nyeri', 'otot', 'bagian', 'bahu', 'otot', 'pinggang', 'dan', 'memperlancar', 'peredaran', 'darah']","['meredakan', 'nyeri', 'otot', 'bahu', 'otot', 'pinggang', 'memperlancar', 'peredaran', 'darah']","['reda', 'nyeri', 'otot', 'bahu', 'otot', 'pinggang', 'lancar', 'edar', 'darah']"
Sale Karang,"sakit gigi,  gusi bengkak dan gusi berdarah",TOKO ANGGREK,Jamu Kesehatan,43,"sakit gigi,  gusi bengkak dan gusi berdarah",sakit gigi  gusi bengkak dan gusi berdarah,"['sakit', 'gigi', 'gusi', 'bengkak', 'dan', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'darah']"
Daun sirih,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang",TOKO ANGGREK,Jamu Kesehatan,107,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang",menghilangkan bau badan mengobati sariawan menghilangkan mau bulut mencegah keropos pada gigi dan tulang,"['menghilangkan', 'bau', 'badan', 'mengobati', 'sariawan', 'menghilangkan', 'mau', 'bulut', 'mencegah', 'keropos', 'pada', 'gigi', 'dan', 'tulang']","['menghilangkan', 'bau', 'badan', 'mengobati', 'sariawan', 'menghilangkan', 'bulut', 'mencegah', 'keropos', 'gigi', 'tulang']","['hilang', 'bau', 'badan', 'obat', 'sariawan', 'hilang', 'bulut', 'cegah', 'keropos', 'gigi', 'tulang']"
Kuda Hitam,Untuk meningkatkan kekuatan pada pria saat berhubungan,RATOHQU,Jamu Pasutri,54,untuk meningkatkan kekuatan pada pria saat berhubungan,untuk meningkatkan kekuatan pada pria saat berhubungan,"['untuk', 'meningkatkan', 'kekuatan', 'pada', 'pria', 'saat', 'berhubungan']","['meningkatkan', 'kekuatan', 'pria', 'berhubungan']","['tingkat', 'kuat', 'pria', 'hubung']"
Jahe Merah Plus,Untuk menambah stamina tubuh Pria dan wanita saat berhubungan,RATOHQU,Jamu Pasutri,61,untuk menambah stamina tubuh pria dan wanita saat berhubungan,untuk menambah stamina tubuh pria dan wanita saat berhubungan,"['untuk', 'menambah', 'stamina', 'tubuh', 'pria', 'dan', 'wanita', 'saat', 'berhubungan']","['menambah', 'stamina', 'tubuh', 'pria', 'wanita', 'berhubungan']","['tambah', 'stamina', 'tubuh', 'pria', 'wanita', 'hubung']"
ekstrak jahe,untuk mengobati gejala masuk angin,RATOHQU,Jamu Kesehatan,34,untuk mengobati gejala masuk angin,untuk mengobati gejala masuk angin,"['untuk', 'mengobati', 'gejala', 'masuk', 'angin']","['mengobati', 'gejala', 'masuk', 'angin']","['obat', 'gejala', 'masuk', 'angin']"
ekstrak temulawak,untuk mengobati penyakit asam lambung dan menambah nafsu makan,RATOHQU,Jamu Kesehatan,62,untuk mengobati penyakit asam lambung dan menambah nafsu makan,untuk mengobati penyakit asam lambung dan menambah nafsu makan,"['untuk', 'mengobati', 'penyakit', 'asam', 'lambung', 'dan', 'menambah', 'nafsu', 'makan']","['mengobati', 'penyakit', 'asam', 'lambung', 'menambah', 'nafsu', 'makan']","['obat', 'sakit', 'asam', 'lambung', 'tambah', 'nafsu', 'makan']"
ektrak kunyit,untuk mengobati penyakit asam lambung ,RATOHQU,Jamu Kesehatan,38,untuk mengobati penyakit asam lambung ,untuk mengobati penyakit asam lambung ,"['untuk', 'mengobati', 'penyakit', 'asam', 'lambung']","['mengobati', 'penyakit', 'asam', 'lambung']","['obat', 'sakit', 'asam', 'lambung']"
kopi lake',Untuk meningkatkan kekuatan pada pria,RATOHQU,Jamu Pasutri,37,untuk meningkatkan kekuatan pada pria,untuk meningkatkan kekuatan pada pria,"['untuk', 'meningkatkan', 'kekuatan', 'pada', 'pria']","['meningkatkan', 'kekuatan', 'pria']","['tingkat', 'kuat', 'pria']"
wedang jahe merah,Menambah stamina tubuh,RATOHQU,Jamu Kesehatan,22,menambah stamina tubuh,menambah stamina tubuh,"['menambah', 'stamina', 'tubuh']","['menambah', 'stamina', 'tubuh']","['tambah', 'stamina', 'tubuh']"
kunyit asam madu,"untuk merawat kesehatan lambung, dan mengobati panas dalam",RATOHQU,Jamu Kesehatan,58,"untuk merawat kesehatan lambung, dan mengobati panas dalam",untuk merawat kesehatan lambung dan mengobati panas dalam,"['untuk', 'merawat', 'kesehatan', 'lambung', 'dan', 'mengobati', 'panas', 'dalam']","['merawat', 'kesehatan', 'lambung', 'mengobati', 'panas']","['rawat', 'sehat', 'lambung', 'obat', 'panas']"
manjakani,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,RATOHQU,Jamu Perawatan Kewanitaan,70,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,"['untuk', 'merawat', 'kesehatan', 'wanita', 'seperti', 'memperlancar', 'haid', 'dan', 'keputihan']","['merawat', 'kesehatan', 'wanita', 'memperlancar', 'haid', 'keputihan']","['rawat', 'sehat', 'wanita', 'lancar', 'haid', 'putih']"
