Kategori,Nama,Khasiat,Produsen,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Jamu Perawatan Kewanitaan,awet muda,"memulihkan elastisitas organ intim wanita ( kencangkan otot miss v), menghilangkan gatal - gatal, keputihan dan bau kurang menyenangkan, mencegah penuaan dini, menstabilkan PH asam dan mengurangi cairan ( basah) berlebihan, meningkatkan hormon estrogen, peremajaan tubuh usai melahirkan / haid, mencegah kanker vagina dan kanker payudara",PT. Firdaus,"memulihkan elastisitas organ intim wanita ( kencangkan otot miss v), menghilangkan gatal - gatal, keputihan dan bau kurang menyenangkan, mencegah penuaan dini, menstabilkan ph asam dan mengurangi cairan ( basah) berlebihan, meningkatkan hormon estrogen, peremajaan tubuh usai melahirkan / haid, mencegah kanker vagina dan kanker payudara",memulihkan elastisitas organ intim wanita  kencangkan otot miss v menghilangkan gatal  gatal keputihan dan bau kurang menyenangkan mencegah penuaan dini menstabilkan ph asam dan mengurangi cairan  basah berlebihan meningkatkan hormon estrogen peremajaan tubuh usai melahirkan  haid mencegah kanker vagina dan kanker payudara,"['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'kencangkan', 'otot', 'miss', 'v', 'menghilangkan', 'gatal', 'gatal', 'keputihan', 'dan', 'bau', 'kurang', 'menyenangkan', 'mencegah', 'penuaan', 'dini', 'menstabilkan', 'ph', 'asam', 'dan', 'mengurangi', 'cairan', 'basah', 'berlebihan', 'meningkatkan', 'hormon', 'estrogen', 'peremajaan', 'tubuh', 'usai', 'melahirkan', 'haid', 'mencegah', 'kanker', 'vagina', 'dan', 'kanker', 'payudara']","['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'kencangkan', 'otot', 'miss', 'v', 'menghilangkan', 'gatal', 'gatal', 'keputihan', 'bau', 'menyenangkan', 'mencegah', 'penuaan', 'menstabilkan', 'ph', 'asam', 'mengurangi', 'cairan', 'basah', 'meningkatkan', 'hormon', 'estrogen', 'peremajaan', 'tubuh', 'melahirkan', 'haid', 'mencegah', 'kanker', 'vagina', 'kanker', 'payudara']","['pulih', 'elastisitas', 'organ', 'intim', 'wanita', 'kencang', 'otot', 'miss', 'v', 'hilang', 'gatal', 'gatal', 'putih', 'bau', 'senang', 'cegah', 'tua', 'stabil', 'ph', 'asam', 'kurang', 'cair', 'basah', 'tingkat', 'hormon', 'estrogen', 'remaja', 'tubuh', 'lahir', 'haid', 'cegah', 'kanker', 'vagina', 'kanker', 'payudara']"
Jamu Pasutri,jakiat,"memperbaiki stamina pria, meningkatkan kebugaran tubuh dalam hubungan pasutri, membantu mengatasi ejakulasi dini, mengentalkan sperma, menambah kejantanan pria",PT. Firdaus,"memperbaiki stamina pria, meningkatkan kebugaran tubuh dalam hubungan pasutri, membantu mengatasi ejakulasi dini, mengentalkan sperma, menambah kejantanan pria",memperbaiki stamina pria meningkatkan kebugaran tubuh dalam hubungan pasutri membantu mengatasi ejakulasi dini mengentalkan sperma menambah kejantanan pria,"['memperbaiki', 'stamina', 'pria', 'meningkatkan', 'kebugaran', 'tubuh', 'dalam', 'hubungan', 'pasutri', 'membantu', 'mengatasi', 'ejakulasi', 'dini', 'mengentalkan', 'sperma', 'menambah', 'kejantanan', 'pria']","['memperbaiki', 'stamina', 'pria', 'meningkatkan', 'kebugaran', 'tubuh', 'hubungan', 'pasutri', 'membantu', 'mengatasi', 'ejakulasi', 'mengentalkan', 'sperma', 'menambah', 'kejantanan', 'pria']","['baik', 'stamina', 'pria', 'tingkat', 'bugar', 'tubuh', 'hubung', 'pasutri', 'bantu', 'atas', 'ejakulasi', 'kental', 'sperma', 'tambah', 'jantan', 'pria']"
Jamu Kesehatan,sirih wangi,"menghilangkan bau badan dan mulut, menyembuhkan radang tenggorokan dan gusi, mengatasi keputihan, menyembuhkan jerawat, menghaluskan kulit, melancarkan air seni, penambah tenaga/ stamina, mengurangi keringat berlebih, mengatasi penyakit kulit /gatal - gatal",PT. Firdaus,"menghilangkan bau badan dan mulut, menyembuhkan radang tenggorokan dan gusi, mengatasi keputihan, menyembuhkan jerawat, menghaluskan kulit, melancarkan air seni, penambah tenaga/ stamina, mengurangi keringat berlebih, mengatasi penyakit kulit /gatal - gatal",menghilangkan bau badan dan mulut menyembuhkan radang tenggorokan dan gusi mengatasi keputihan menyembuhkan jerawat menghaluskan kulit melancarkan air seni penambah tenaga stamina mengurangi keringat berlebih mengatasi penyakit kulit gatal  gatal,"['menghilangkan', 'bau', 'badan', 'dan', 'mulut', 'menyembuhkan', 'radang', 'tenggorokan', 'dan', 'gusi', 'mengatasi', 'keputihan', 'menyembuhkan', 'jerawat', 'menghaluskan', 'kulit', 'melancarkan', 'air', 'seni', 'penambah', 'tenaga', 'stamina', 'mengurangi', 'keringat', 'berlebih', 'mengatasi', 'penyakit', 'kulit', 'gatal', 'gatal']","['menghilangkan', 'bau', 'badan', 'mulut', 'menyembuhkan', 'radang', 'tenggorokan', 'gusi', 'mengatasi', 'keputihan', 'menyembuhkan', 'jerawat', 'menghaluskan', 'kulit', 'melancarkan', 'air', 'seni', 'penambah', 'tenaga', 'stamina', 'mengurangi', 'keringat', 'berlebih', 'mengatasi', 'penyakit', 'kulit', 'gatal', 'gatal']","['hilang', 'bau', 'badan', 'mulut', 'sembuh', 'radang', 'tenggorok', 'gusi', 'atas', 'putih', 'sembuh', 'jerawat', 'halus', 'kulit', 'lancar', 'air', 'seni', 'tambah', 'tenaga', 'stamina', 'kurang', 'keringat', 'lebih', 'atas', 'sakit', 'kulit', 'gatal', 'gatal']"
Jamu Perawatan Kewanitaan,Rapet Wangi,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,PT. Firdaus,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,"['membantu', 'mengurangi', 'lendir', 'yang', 'berlebihan', 'pada', 'daerah', 'kewanitaan']","['membantu', 'mengurangi', 'lendir', 'daerah', 'kewanitaan']","['bantu', 'kurang', 'lendir', 'daerah', 'wanita']"
Jamu Kesehatan,bersih darah,"melancarkan peredaran darah di dalam tubuh, membersihkan darah kotor yang ada di dalam tubuh, mengatasi gatal - gatal pada kulit, mengatasi / meringankan bisul, mengobati korengan dan beberapa masalah kulit lainnya, menyembuhkan serta mencegah jerawat",PT. Firdaus,"melancarkan peredaran darah di dalam tubuh, membersihkan darah kotor yang ada di dalam tubuh, mengatasi gatal - gatal pada kulit, mengatasi / meringankan bisul, mengobati korengan dan beberapa masalah kulit lainnya, menyembuhkan serta mencegah jerawat",melancarkan peredaran darah di dalam tubuh membersihkan darah kotor yang ada di dalam tubuh mengatasi gatal  gatal pada kulit mengatasi  meringankan bisul mengobati korengan dan beberapa masalah kulit lainnya menyembuhkan serta mencegah jerawat,"['melancarkan', 'peredaran', 'darah', 'di', 'dalam', 'tubuh', 'membersihkan', 'darah', 'kotor', 'yang', 'ada', 'di', 'dalam', 'tubuh', 'mengatasi', 'gatal', 'gatal', 'pada', 'kulit', 'mengatasi', 'meringankan', 'bisul', 'mengobati', 'korengan', 'dan', 'beberapa', 'masalah', 'kulit', 'lainnya', 'menyembuhkan', 'serta', 'mencegah', 'jerawat']","['melancarkan', 'peredaran', 'darah', 'tubuh', 'membersihkan', 'darah', 'kotor', 'tubuh', 'mengatasi', 'gatal', 'gatal', 'kulit', 'mengatasi', 'meringankan', 'bisul', 'mengobati', 'korengan', 'kulit', 'menyembuhkan', 'mencegah', 'jerawat']","['lancar', 'edar', 'darah', 'tubuh', 'bersih', 'darah', 'kotor', 'tubuh', 'atas', 'gatal', 'gatal', 'kulit', 'atas', 'ringan', 'bisul', 'obat', 'koreng', 'kulit', 'sembuh', 'cegah', 'jerawat']"
Jamu Kesehatan,kencing manis,"mengobati kencing manis, menurunkan kadar gula seperti sering terasa haus, sering kencing terutama di malam hari",PT. Firdaus,"mengobati kencing manis, menurunkan kadar gula seperti sering terasa haus, sering kencing terutama di malam hari",mengobati kencing manis menurunkan kadar gula seperti sering terasa haus sering kencing terutama di malam hari,"['mengobati', 'kencing', 'manis', 'menurunkan', 'kadar', 'gula', 'seperti', 'sering', 'terasa', 'haus', 'sering', 'kencing', 'terutama', 'di', 'malam', 'hari']","['mengobati', 'kencing', 'manis', 'menurunkan', 'kadar', 'gula', 'haus', 'kencing', 'malam']","['obat', 'kencing', 'manis', 'turun', 'kadar', 'gula', 'haus', 'kencing', 'malam']"
Jamu Pasutri,sari rapet,"menambah gairah hubungan suami istri, mengobati keputihan dan gejalanya seperti berair, berlendir, berbau, merapatkan otot - otot vagina",PT. Firdaus,"menambah gairah hubungan suami istri, mengobati keputihan dan gejalanya seperti berair, berlendir, berbau, merapatkan otot - otot vagina",menambah gairah hubungan suami istri mengobati keputihan dan gejalanya seperti berair berlendir berbau merapatkan otot  otot vagina,"['menambah', 'gairah', 'hubungan', 'suami', 'istri', 'mengobati', 'keputihan', 'dan', 'gejalanya', 'seperti', 'berair', 'berlendir', 'berbau', 'merapatkan', 'otot', 'otot', 'vagina']","['menambah', 'gairah', 'hubungan', 'suami', 'istri', 'mengobati', 'keputihan', 'gejalanya', 'berair', 'berlendir', 'berbau', 'merapatkan', 'otot', 'otot', 'vagina']","['tambah', 'gairah', 'hubung', 'suami', 'istri', 'obat', 'putih', 'gejala', 'air', 'lendir', 'bau', 'rapat', 'otot', 'otot', 'vagina']"
Jamu Perawatan Kewanitaan,delima putih,"mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau (keringat) kurang sedap, merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik & awet muda",PT. Firdaus,"mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau (keringat) kurang sedap, merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik & awet muda",mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau keringat kurang sedap merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik  awet muda,"['mencegah', 'dan', 'mengobati', 'keputihan', 'seperti', 'muka', 'pucat', 'tidak', 'bergairah', 'sakit', 'pinggang', 'mengurangi', 'lendir', 'serta', 'menghilangkan', 'bau', 'keringat', 'kurang', 'sedap', 'merapatkan', 'vagina', 'pemakaian', 'secara', 'teratur', 'maka', 'wajah', 'bercahaya', 'cantik', 'awet', 'muda']","['mencegah', 'mengobati', 'keputihan', 'muka', 'pucat', 'bergairah', 'sakit', 'pinggang', 'mengurangi', 'lendir', 'menghilangkan', 'bau', 'keringat', 'sedap', 'merapatkan', 'vagina', 'pemakaian', 'teratur', 'wajah', 'bercahaya', 'cantik', 'awet', 'muda']","['cegah', 'obat', 'putih', 'muka', 'pucat', 'gairah', 'sakit', 'pinggang', 'kurang', 'lendir', 'hilang', 'bau', 'keringat', 'sedap', 'rapat', 'vagina', 'pakai', 'atur', 'wajah', 'cahaya', 'cantik', 'awet', 'muda']"
Jamu Pasutri,empot-empot love,"mengencangkan organ intim (rapet), mengencangkan kulit, menambah libido, atasi payudara kendur, membersihkan bakteri dan jamur (keputihan), mengobati kista, mencegah kanker payudara menguatkan pinggang, melancarkan datang bulan",PT. Firdaus,"mengencangkan organ intim (rapet), mengencangkan kulit, menambah libido, atasi payudara kendur, membersihkan bakteri dan jamur (keputihan), mengobati kista, mencegah kanker payudara menguatkan pinggang, melancarkan datang bulan",mengencangkan organ intim rapet mengencangkan kulit menambah libido atasi payudara kendur membersihkan bakteri dan jamur keputihan mengobati kista mencegah kanker payudara menguatkan pinggang melancarkan datang bulan,"['mengencangkan', 'organ', 'intim', 'rapet', 'mengencangkan', 'kulit', 'menambah', 'libido', 'atasi', 'payudara', 'kendur', 'membersihkan', 'bakteri', 'dan', 'jamur', 'keputihan', 'mengobati', 'kista', 'mencegah', 'kanker', 'payudara', 'menguatkan', 'pinggang', 'melancarkan', 'datang', 'bulan']","['mengencangkan', 'organ', 'intim', 'rapet', 'mengencangkan', 'kulit', 'menambah', 'libido', 'atasi', 'payudara', 'kendur', 'membersihkan', 'bakteri', 'jamur', 'keputihan', 'mengobati', 'kista', 'mencegah', 'kanker', 'payudara', 'menguatkan', 'pinggang', 'melancarkan']","['encang', 'organ', 'intim', 'rapet', 'encang', 'kulit', 'tambah', 'libido', 'atas', 'payudara', 'kendur', 'bersih', 'bakteri', 'jamur', 'putih', 'obat', 'kista', 'cegah', 'kanker', 'payudara', 'kuat', 'pinggang', 'lancar']"
Jamu Perawatan Kewanitaan,manjakani,"menormalkan hormon estrogen, mengencangkan wajah dan kulit, mengencangkan payudara, mengencangkan otot - otot kewanitaan (rapet), mencegah osteoporosis (tulang keropos), menyembuhkan keputihan, menguatkan pinggang, melancarkan datang bulan",PT. Firdaus,"menormalkan hormon estrogen, mengencangkan wajah dan kulit, mengencangkan payudara, mengencangkan otot - otot kewanitaan (rapet), mencegah osteoporosis (tulang keropos), menyembuhkan keputihan, menguatkan pinggang, melancarkan datang bulan",menormalkan hormon estrogen mengencangkan wajah dan kulit mengencangkan payudara mengencangkan otot  otot kewanitaan rapet mencegah osteoporosis tulang keropos menyembuhkan keputihan menguatkan pinggang melancarkan datang bulan,"['menormalkan', 'hormon', 'estrogen', 'mengencangkan', 'wajah', 'dan', 'kulit', 'mengencangkan', 'payudara', 'mengencangkan', 'otot', 'otot', 'kewanitaan', 'rapet', 'mencegah', 'osteoporosis', 'tulang', 'keropos', 'menyembuhkan', 'keputihan', 'menguatkan', 'pinggang', 'melancarkan', 'datang', 'bulan']","['menormalkan', 'hormon', 'estrogen', 'mengencangkan', 'wajah', 'kulit', 'mengencangkan', 'payudara', 'mengencangkan', 'otot', 'otot', 'kewanitaan', 'rapet', 'mencegah', 'osteoporosis', 'tulang', 'keropos', 'menyembuhkan', 'keputihan', 'menguatkan', 'pinggang', 'melancarkan']","['normal', 'hormon', 'estrogen', 'encang', 'wajah', 'kulit', 'encang', 'payudara', 'encang', 'otot', 'otot', 'wanita', 'rapet', 'cegah', 'osteoporosis', 'tulang', 'keropos', 'sembuh', 'putih', 'kuat', 'pinggang', 'lancar']"
Jamu Kesehatan,gemuk sehat,"menambah nafsu makan, menghambat pertumbuhan sel kanker, meningkatkan daya tahan tubuh, menjaga kesehatan liver, memperbaiki jaringan tubuh yang rusak, membantu melawan bakteri dan jamur di tubuh, menyembuhkan penyakit kuning",PT. Firdaus,"menambah nafsu makan, menghambat pertumbuhan sel kanker, meningkatkan daya tahan tubuh, menjaga kesehatan liver, memperbaiki jaringan tubuh yang rusak, membantu melawan bakteri dan jamur di tubuh, menyembuhkan penyakit kuning",menambah nafsu makan menghambat pertumbuhan sel kanker meningkatkan daya tahan tubuh menjaga kesehatan liver memperbaiki jaringan tubuh yang rusak membantu melawan bakteri dan jamur di tubuh menyembuhkan penyakit kuning,"['menambah', 'nafsu', 'makan', 'menghambat', 'pertumbuhan', 'sel', 'kanker', 'meningkatkan', 'daya', 'tahan', 'tubuh', 'menjaga', 'kesehatan', 'liver', 'memperbaiki', 'jaringan', 'tubuh', 'yang', 'rusak', 'membantu', 'melawan', 'bakteri', 'dan', 'jamur', 'di', 'tubuh', 'menyembuhkan', 'penyakit', 'kuning']","['menambah', 'nafsu', 'makan', 'menghambat', 'pertumbuhan', 'sel', 'kanker', 'meningkatkan', 'daya', 'tahan', 'tubuh', 'menjaga', 'kesehatan', 'liver', 'memperbaiki', 'jaringan', 'tubuh', 'rusak', 'membantu', 'melawan', 'bakteri', 'jamur', 'tubuh', 'menyembuhkan', 'penyakit', 'kuning']","['tambah', 'nafsu', 'makan', 'hambat', 'tumbuh', 'sel', 'kanker', 'tingkat', 'daya', 'tahan', 'tubuh', 'jaga', 'sehat', 'liver', 'baik', 'jaring', 'tubuh', 'rusak', 'bantu', 'lawan', 'bakteri', 'jamur', 'tubuh', 'sembuh', 'sakit', 'kuning']"
Jamu Perawatan Kewanitaan,oil mahabbah,"agar payudara tetap kencang dan montok setelah melahirkan, merawat kesehatan payudara, menghaluskan kulit payudara",PT. Firdaus,"agar payudara tetap kencang dan montok setelah melahirkan, merawat kesehatan payudara, menghaluskan kulit payudara",agar payudara tetap kencang dan montok setelah melahirkan merawat kesehatan payudara menghaluskan kulit payudara,"['agar', 'payudara', 'tetap', 'kencang', 'dan', 'montok', 'setelah', 'melahirkan', 'merawat', 'kesehatan', 'payudara', 'menghaluskan', 'kulit', 'payudara']","['payudara', 'kencang', 'montok', 'melahirkan', 'merawat', 'kesehatan', 'payudara', 'menghaluskan', 'kulit', 'payudara']","['payudara', 'kencang', 'montok', 'lahir', 'rawat', 'sehat', 'payudara', 'halus', 'kulit', 'payudara']"
Jamu Pasutri,bubuk herbal ajaib,"merapatkan dan mengencangkan otot vagina, mengeringkan miss v yang basah, sama - sama memberikan kenikmatan dan kebahagiaan hubungan suami istri",PT. Firdaus,"merapatkan dan mengencangkan otot vagina, mengeringkan miss v yang basah, sama - sama memberikan kenikmatan dan kebahagiaan hubungan suami istri",merapatkan dan mengencangkan otot vagina mengeringkan miss v yang basah sama  sama memberikan kenikmatan dan kebahagiaan hubungan suami istri,"['merapatkan', 'dan', 'mengencangkan', 'otot', 'vagina', 'mengeringkan', 'miss', 'v', 'yang', 'basah', 'sama', 'sama', 'memberikan', 'kenikmatan', 'dan', 'kebahagiaan', 'hubungan', 'suami', 'istri']","['merapatkan', 'mengencangkan', 'otot', 'vagina', 'mengeringkan', 'miss', 'v', 'basah', 'kenikmatan', 'kebahagiaan', 'hubungan', 'suami', 'istri']","['rapat', 'encang', 'otot', 'vagina', 'ering', 'miss', 'v', 'basah', 'nikmat', 'bahagia', 'hubung', 'suami', 'istri']"
Jamu Pasutri,butiran putri delima,"merapatkan dan mengencangkan otot vagina, keset / kering agar wanita percaya diri, sama - sama memberikan kenikmatan dan kebahagiaan hubungan suami - istri",PT. Firdaus,"merapatkan dan mengencangkan otot vagina, keset / kering agar wanita percaya diri, sama - sama memberikan kenikmatan dan kebahagiaan hubungan suami - istri",merapatkan dan mengencangkan otot vagina keset  kering agar wanita percaya diri sama  sama memberikan kenikmatan dan kebahagiaan hubungan suami  istri,"['merapatkan', 'dan', 'mengencangkan', 'otot', 'vagina', 'keset', 'kering', 'agar', 'wanita', 'percaya', 'diri', 'sama', 'sama', 'memberikan', 'kenikmatan', 'dan', 'kebahagiaan', 'hubungan', 'suami', 'istri']","['merapatkan', 'mengencangkan', 'otot', 'vagina', 'keset', 'kering', 'wanita', 'percaya', 'kenikmatan', 'kebahagiaan', 'hubungan', 'suami', 'istri']","['rapat', 'encang', 'otot', 'vagina', 'keset', 'kering', 'wanita', 'percaya', 'nikmat', 'bahagia', 'hubung', 'suami', 'istri']"
Jamu Perawatan Kewanitaan,penyubur kandungan,"menguatkan rahim, menambah hormon menyuburkan kandungan",PT. Firdaus,"menguatkan rahim, menambah hormon menyuburkan kandungan",menguatkan rahim menambah hormon menyuburkan kandungan,"['menguatkan', 'rahim', 'menambah', 'hormon', 'menyuburkan', 'kandungan']","['menguatkan', 'rahim', 'menambah', 'hormon', 'menyuburkan', 'kandungan']","['kuat', 'rahim', 'tambah', 'hormon', 'subur', 'kandung']"
Jamu Pasutri,setanggi zahra,bermanfaat sebagai aromatherapy menenangkan  hati dan menambah keintiman suami istri,PT. Firdaus,bermanfaat sebagai aromatherapy menenangkan  hati dan menambah keintiman suami istri,bermanfaat sebagai aromatherapy menenangkan  hati dan menambah keintiman suami istri,"['bermanfaat', 'sebagai', 'aromatherapy', 'menenangkan', 'hati', 'dan', 'menambah', 'keintiman', 'suami', 'istri']","['bermanfaat', 'aromatherapy', 'menenangkan', 'hati', 'menambah', 'keintiman', 'suami', 'istri']","['manfaat', 'aromatherapy', 'tenang', 'hati', 'tambah', 'intim', 'suami', 'istri']"
Jamu Kesehatan,timung / mandi uap,"melancarkan peredaran darah, mengeluarkan keringat berlebih, membakar lemak, mengharumkan badan, membuat badan segar, harum dan berseri",PT. Firdaus,"melancarkan peredaran darah, mengeluarkan keringat berlebih, membakar lemak, mengharumkan badan, membuat badan segar, harum dan berseri",melancarkan peredaran darah mengeluarkan keringat berlebih membakar lemak mengharumkan badan membuat badan segar harum dan berseri,"['melancarkan', 'peredaran', 'darah', 'mengeluarkan', 'keringat', 'berlebih', 'membakar', 'lemak', 'mengharumkan', 'badan', 'membuat', 'badan', 'segar', 'harum', 'dan', 'berseri']","['melancarkan', 'peredaran', 'darah', 'mengeluarkan', 'keringat', 'berlebih', 'membakar', 'lemak', 'mengharumkan', 'badan', 'badan', 'segar', 'harum', 'berseri']","['lancar', 'edar', 'darah', 'keluar', 'keringat', 'lebih', 'bakar', 'lemak', 'harum', 'badan', 'badan', 'segar', 'harum', 'seri']"
Jamu Pasutri,hormolak,"menstabilkan hormon laki - laki yang sangat diperlukan untuk produksi sperma, memberikan suplemen  tambahan sehingga produksi sperma dapat lebih maksimal, mempercepat produksi sperma dan memperbanyak jumlah cairan sperma, menghangatkan badan, mengurangi ejakulasi dini",PT. Firdaus,"menstabilkan hormon laki - laki yang sangat diperlukan untuk produksi sperma, memberikan suplemen  tambahan sehingga produksi sperma dapat lebih maksimal, mempercepat produksi sperma dan memperbanyak jumlah cairan sperma, menghangatkan badan, mengurangi ejakulasi dini",menstabilkan hormon laki  laki yang sangat diperlukan untuk produksi sperma memberikan suplemen  tambahan sehingga produksi sperma dapat lebih maksimal mempercepat produksi sperma dan memperbanyak jumlah cairan sperma menghangatkan badan mengurangi ejakulasi dini,"['menstabilkan', 'hormon', 'laki', 'laki', 'yang', 'sangat', 'diperlukan', 'untuk', 'produksi', 'sperma', 'memberikan', 'suplemen', 'tambahan', 'sehingga', 'produksi', 'sperma', 'dapat', 'lebih', 'maksimal', 'mempercepat', 'produksi', 'sperma', 'dan', 'memperbanyak', 'jumlah', 'cairan', 'sperma', 'menghangatkan', 'badan', 'mengurangi', 'ejakulasi', 'dini']","['menstabilkan', 'hormon', 'laki', 'laki', 'produksi', 'sperma', 'suplemen', 'tambahan', 'produksi', 'sperma', 'maksimal', 'mempercepat', 'produksi', 'sperma', 'memperbanyak', 'cairan', 'sperma', 'menghangatkan', 'badan', 'mengurangi', 'ejakulasi']","['stabil', 'hormon', 'laki', 'laki', 'produksi', 'sperma', 'suplemen', 'tambah', 'produksi', 'sperma', 'maksimal', 'cepat', 'produksi', 'sperma', 'banyak', 'cair', 'sperma', 'hangat', 'badan', 'kurang', 'ejakulasi']"
